Number,Customer name,Product,Delivered date,Amount,TYP,Status,City,State,Pincode
6391172210,SK Muntaz,Special Pigmentation Serum 50ml,05-06-26,2700,Skinwise,delivered,Vijayawada,Andhra Pradesh,520008
8099146825,Bhagyashree Dalvi,Detox Drink 200ml,05-07-26,2500,Razorveda,delivered,Pune,Maharashtra,411041
7060411385,Aarti Nayaka,Mamo Firm Cream 100gm,15-07-26,2500,Razorveda,delivered,Surat,Gujarat,395006
9448812093,Roslyn Reang,Mamo Firm Cream 100gm,11-07-26,1651,Razorveda,delivered,Agartala,Tripura,799001
9151731323,Hasina Ali,Mamo Plus 2 in 1 100gm,03-08-26,1500,Razorveda,delivered,Gorakhpur,Uttar Pradesh,273001
8218936003,Mohini,Skinwise Pigmentation Cream 10ml,01-08-26,1200,Skinwise,delivered,Agra,Uttar Pradesh,282001
9264144448,Raj Mohammed,Vg Tone Gel 200gm,01-08-26,1349,Razorveda,delivered,Mumbai,Maharashtra,400070
8076845536,Priyanshi Sharma,Mamo Firm Cream 100gm,12-07-26,1450,Razorveda,delivered,Ghaziabad,Uttar Pradesh,201013
9600534421,Indu Mathi,Geluslim Gel 100gm,20-06-26,1300,Razorveda,delivered,Chennai,Tamil Nadu,600040
9354112288,Neha Singh,B Reduce Cream 100gm,28-06-26,1450,Razorveda,delivered,Delhi,Delhi,110085
