Order id,Date,CustomerName,Phone no,Alt number,ProductDeatil,Total amount,Final amount,PaymentMode,Address,City,State,Pincode,CallerName
RZ10041,20-08-26,Priyanshi Sharma,8076845536,,Mamo Firm Cream 100gm (1 Pack),3000,,300 prepaid & 2700 cod,"B-44 Sector 5",Ghaziabad,Uttar Pradesh,201013,Riya Chauhan / Shopify
RZ10042,20-08-26,Sarfaraj Ahamad,6391172210,,Mamo Plus Capsule 60cap,2500,,COD,"Mohalla Kot",Basti,Uttar Pradesh,272001,Nikita / Shopify
RZ10043,20-08-26,Kumkum Bora,8099146825,9678231144,Mamo Plus 2in1 100gm,1102,,cod,"Ward 7 Nowgaon",Nagaon,Assam,782001,Divya / Shopify
RZ10044,20-08-26,Saloni Kumari,7060411385,,B-Reduce Cream 100gm (2 Pack),2500,,849 webpay & 1651 cod,"Vill Kaithi",Ballia,Uttar Pradesh,277001,Riya Chauhan / Shopify
RZ10045,20-08-26,Mamatha,9448812093,,Mamo Firm Cream,949,,prepaid,"3rd Cross Jayanagar",Bengaluru,Karnataka,560041,Akruti / Shopify
RZ10046,20-08-26,Indu Mathi,9600534421,,Mamo Plus 2 in 1 cream,1500,,COD,"Anna Nagar West",Chennai,Tamil Nadu,600040,Riya Chauhan / Shopify
RZ10047,20-08-26,Neha Singh,9354112288,,Mamo Firm Cream 100gm (2 Pack),2500,,500 preapid & 2000 cod,"Rohini Sec 9",Delhi,Delhi,110085,Nikita / Shopify
RZ10048,20-08-26,Rishma Das,9832145670,,B Reduce Cream,1450,,COD,"Salt Lake Sec 2",Kolkata,West Bengal,700091,Divya / Shopify
RZ10049,20-08-26,Pavitra Gopal,9945671230,,Skinwise Pigmentation Cream 10ml,1500,,cod,"Vijayanagar",Mysuru,Karnataka,570017,Akruti / Shopify
RZ10050,20-08-26,Bhavana Patel,9825443311,,Geluslim Gel 100gm,1300,,pay later maybe,"Naranpura",Ahmedabad,Gujarat,380013,Priti / Shopify
